"Variable","Mean","Median","SD","Min","Q1","Q3","Max","IQR"
"CO2 (ppm)",388.989,387.188,18.627,359.187,373.21,404.928,423.842,31.718
"CH4 (ppb)",1771.394,1753.535,54.815,1684.82,1729.195,1807.162,1901.34,77.967
"N2O (ppb)",323.582,323.044,7.895,310.756,316.519,330.193,338.674,13.675
"Temperature (C)",18.541,18.45,4.657,10.3,14.5,22.8,28.3,8.3
