"","Estimate","Std. Error","t value","Pr(>|t|)","VIF"
"(Intercept)",-839.4726,65.7198,-12.7735,0,NA
"CH4",-0.1547,0.0111,-13.9112,0,11.3457
"CO2",-2.1205,0.1732,-12.2437,0,317.8294
"N2O",6.0476,0.4243,14.252,0,342.731
