"Model","Intercept","Beta","R_squared","p_value"
"CH4 -> CO2",-183.1583,0.323,0.9034,9.33799204638935e-184
"CH4 -> N2O",80.1424,0.1374,0.9104,1.27250359457805e-189
"CO2 -> N2O",158.9765,0.4232,0.9968,0
