"","CO2","CH4","N2O","Temp"
"CO2",1,0.9505,0.9984,0.0237
"CH4",0.9505,1,0.9542,-0.1
"N2O",0.9984,0.9542,1,0.047
"Temp",0.0237,-0.1,0.047,1
